frame,feature
0,ARF
1,Akt
2,BP1
3,Bcl2
4,CDK2
5,CDK4
6,CDK6
7,Cdh1
8,Cdt1
9,D1
10,DNA1
11,DNA2
12,DNA3
13,DNA4
14,DNA5
15,DNA6
16,DNA7
17,DNA8
18,E2F1
19,ERK
20,Fra1
21,GSK3b
22,PCNA-mTq2
23,RSK1
24,Rb
25,S6
26,STAT3
27,Skp2
28,YAP
29,bCat
30,cFos
31,cJun
32,cMyc
33,cycA
34,cycB1
35,cycE
36,p16
37,p21
38,p27
39,p38
40,p53
41,pAkt
42,pChk1
43,pERK
44,pGSK3b
45,pH2AX
46,pRSK
47,pRb
48,pS6
49,pSTAT3
50,pp21
51,pp27
52,pp38
53,pp53
54,pp65
55,unknown
56,unknown
57,nuc
58,ring
